time_min,stage,kind,detail
3602.85,outbound,depart,truck=31;load_kind=scr;ton=0.0
3607.85,inbound,weigh_in,truck=23
3616.08,outbound,arrive,truck=34;load_kind=flake
3627.85,inbound,unloaded,truck=23
3630.00,press,pallet_done,pallet=70;buffer=6
3632.85,inbound,depart,truck=23
3650.19,outbound,arrive,truck=35;load_kind=flake
3652.50,melting,elevator_done,furnace=2;trips=16
3657.85,sorting,sort_done,truck=23
3660.00,inbound,arrive,truck=24
3665.00,inbound,weigh_in,truck=24
3671.51,outbound,arrive,truck=36;load_kind=scr
3672.50,press,pallet_done,pallet=71;buffer=7
3676.11,outbound,depart,truck=32;load_kind=scr;ton=0.0
3685.00,inbound,unloaded,truck=24
3690.00,inbound,depart,truck=24
3715.00,sorting,sort_done,truck=24
3715.00,press,pallet_done,pallet=72;buffer=8
3720.00,inbound,arrive,truck=25
3722.50,melting,melt_start,furnace=1
3725.00,inbound,weigh_in,truck=25
3745.00,inbound,unloaded,truck=25
3750.00,inbound,depart,truck=25
3757.50,press,pallet_done,pallet=73;buffer=9
3772.50,melting,melt_start,furnace=2
3775.00,sorting,sort_done,truck=25
3780.00,inbound,arrive,truck=26
3785.00,inbound,weigh_in,truck=26
3800.00,press,pallet_done,pallet=74;buffer=10
3805.00,inbound,unloaded,truck=26
3810.00,inbound,depart,truck=26
3835.00,sorting,sort_done,truck=26
3840.00,inbound,arrive,truck=27
3842.50,press,pallet_done,pallet=75;buffer=11
3842.67,outbound,depart,truck=33;load_kind=scr;ton=0.0
3847.67,inbound,weigh_in,truck=27
3859.65,outbound,arrive,truck=37;load_kind=scr
3867.67,inbound,unloaded,truck=27
3869.65,outbound,depart,truck=34;load_kind=flake;ton=0.0
3874.65,inbound,depart,truck=27
3885.00,press,pallet_done,pallet=76;buffer=12
3897.67,sorting,sort_done,truck=27
3900.00,inbound,arrive,truck=28
3900.19,outbound,depart,truck=35;load_kind=flake;ton=0.0
3905.19,inbound,weigh_in,truck=28
3925.19,inbound,unloaded,truck=28
3926.11,outbound,depart,truck=36;load_kind=scr;ton=0.0
3927.50,press,pallet_done,pallet=77;buffer=13
3931.11,inbound,depart,truck=28
3955.19,sorting,sort_done,truck=28
3955.55,outbound,arrive,truck=38;load_kind=scr
3960.00,inbound,arrive,truck=29
3965.55,inbound,weigh_in,truck=29
3970.00,press,pallet_done,pallet=78;buffer=14
3985.55,inbound,unloaded,truck=29
3990.55,inbound,depart,truck=29
4012.50,press,pallet_done,pallet=79;buffer=15
4015.55,sorting,sort_done,truck=29
4020.00,inbound,arrive,truck=30
4025.00,inbound,weigh_in,truck=30
4045.00,inbound,unloaded,truck=30
4050.00,inbound,depart,truck=30
4055.00,press,pallet_done,pallet=80;buffer=16
4075.00,sorting,sort_done,truck=30
4097.50,press,pallet_done,pallet=81;buffer=17
4109.65,outbound,depart,truck=37;load_kind=scr;ton=0.0
4140.00,press,pallet_done,pallet=82;buffer=18
4176.93,outbound,arrive,truck=39;load_kind=scr
4182.50,press,pallet_done,pallet=83;buffer=19
4204.62,outbound,arrive,truck=40;load_kind=flake
4205.55,outbound,depart,truck=38;load_kind=scr;ton=0.0
4225.00,press,pallet_done,pallet=84;buffer=20
4267.50,press,pallet_done,pallet=85;buffer=21
4278.79,outbound,arrive,truck=41;load_kind=flake
4310.00,press,pallet_done,pallet=86;buffer=22
4352.50,press,pallet_done,pallet=87;buffer=23
4357.86,outbound,arrive,truck=42;load_kind=scr
4395.00,press,pallet_done,pallet=88;buffer=24
4403.74,outbound,arrive,truck=43;load_kind=flake
4426.93,outbound,depart,truck=39;load_kind=scr;ton=0.0
4437.50,press,pallet_done,pallet=89;buffer=25
4442.50,melting,melt_done,furnace=1
4455.55,outbound,depart,truck=40;load_kind=flake;ton=0.0
4480.00,press,pallet_done,pallet=90;buffer=26
4492.50,melting,melt_done,furnace=2
4522.50,press,pallet_done,pallet=91;buffer=27
4528.79,outbound,depart,truck=41;load_kind=flake;ton=0.0
4565.00,press,pallet_done,pallet=92;buffer=28
4592.50,casting,flake_done,furnace=1;units=24
4599.50,outbound,depart,truck=42;load_kind=scr;ton=20.0
4605.70,outbound,depart,truck=43;load_kind=flake;ton=22.0
4607.50,press,pallet_done,pallet=93;buffer=29
4650.00,press,pallet_done,pallet=94;buffer=30
4652.50,casting,flake_done,furnace=2;units=24
4672.50,casting,scr_done,furnace=1;units=14
4672.50,melting,batch_done,furnace=1
4692.50,press,pallet_done,pallet=95;buffer=0
4735.00,press,pallet_done,pallet=96;buffer=0
4735.00,melting,batch_collected,furnace=1;pallets=32
4777.50,press,pallet_done,pallet=97;buffer=1
4812.50,casting,scr_done,furnace=2;units=14
4812.50,melting,batch_done,furnace=2
4820.00,press,pallet_done,pallet=98;buffer=0
4862.50,press,pallet_done,pallet=99;buffer=0
4895.00,melting,elevator_done,furnace=1;trips=16
4905.00,press,pallet_done,pallet=100;buffer=0
4920.00,inbound,arrive,truck=31
4925.00,inbound,weigh_in,truck=31
4944.34,outbound,arrive,truck=44;load_kind=scr
4945.00,inbound,unloaded,truck=31
4947.50,press,pallet_done,pallet=101;buffer=0
4952.91,outbound,arrive,truck=45;load_kind=flake
4954.34,inbound,depart,truck=31
4963.37,outbound,arrive,truck=46;load_kind=scr
4966.34,outbound,depart,truck=44;load_kind=scr;ton=20.0
4975.00,sorting,sort_done,truck=31
4977.54,outbound,depart,truck=45;load_kind=flake;ton=22.0
4980.00,inbound,arrive,truck=32
4985.00,inbound,weigh_in,truck=32
4990.00,outbound,depart,truck=46;load_kind=scr;ton=20.0
4990.00,press,pallet_done,pallet=102;buffer=0
5005.00,inbound,unloaded,truck=32
5010.00,inbound,depart,truck=32
5015.00,melting,melt_start,furnace=1
5032.50,press,pallet_done,pallet=103;buffer=0
5035.00,sorting,sort_done,truck=32
5040.00,inbound,arrive,truck=33
5045.00,inbound,weigh_in,truck=33
5065.00,inbound,unloaded,truck=33
5070.00,inbound,depart,truck=33
5075.00,press,pallet_done,pallet=104;buffer=0
5095.00,sorting,sort_done,truck=33
5100.00,inbound,arrive,truck=34
5104.72,outbound,arrive,truck=47;load_kind=scr
5105.00,inbound,weigh_in,truck=34
5110.63,outbound,arrive,truck=48;load_kind=scr
5117.50,press,pallet_done,pallet=105;buffer=0
5125.00,inbound,unloaded,truck=34
5127.00,outbound,depart,truck=47;load_kind=scr;ton=20.0
5132.00,inbound,depart,truck=34
5137.00,outbound,depart,truck=48;load_kind=scr;ton=20.0
5155.00,sorting,sort_done,truck=34
5160.00,inbound,arrive,truck=35
5160.00,press,pallet_done,pallet=106;buffer=0
5165.00,inbound,weigh_in,truck=35
5185.00,inbound,unloaded,truck=35
5190.00,inbound,depart,truck=35
5202.50,press,pallet_done,pallet=107;buffer=0
5215.00,sorting,sort_done,truck=35
5220.00,inbound,arrive,truck=36
5225.00,inbound,weigh_in,truck=36
5245.00,inbound,unloaded,truck=36
5245.00,press,pallet_done,pallet=108;buffer=0
5250.00,inbound,depart,truck=36
5275.00,sorting,sort_done,truck=36
5280.00,inbound,arrive,truck=37
5285.00,inbound,weigh_in,truck=37
5287.50,press,pallet_done,pallet=109;buffer=0
5305.00,inbound,unloaded,truck=37
5310.00,inbound,depart,truck=37
5330.00,press,pallet_done,pallet=110;buffer=0
5335.00,sorting,sort_done,truck=37
5340.00,inbound,arrive,truck=38
5345.00,inbound,weigh_in,truck=38
5365.00,inbound,unloaded,truck=38
5370.00,inbound,depart,truck=38
5372.50,press,pallet_done,pallet=111;buffer=0
5395.00,sorting,sort_done,truck=38
5400.00,inbound,arrive,truck=39
5405.00,inbound,weigh_in,truck=39
5415.00,press,pallet_done,pallet=112;buffer=0
5425.00,inbound,unloaded,truck=39
5430.00,inbound,depart,truck=39
5455.00,sorting,sort_done,truck=39
5457.50,press,pallet_done,pallet=113;buffer=0
5460.00,inbound,arrive,truck=40
5465.00,inbound,weigh_in,truck=40
5485.00,inbound,unloaded,truck=40
5490.00,inbound,depart,truck=40
5500.00,press,pallet_done,pallet=114;buffer=0
5515.00,sorting,sort_done,truck=40
5542.50,press,pallet_done,pallet=115;buffer=0
5585.00,press,pallet_done,pallet=116;buffer=0
5610.33,outbound,arrive,truck=49;load_kind=scr
5627.50,press,pallet_done,pallet=117;buffer=0
5670.00,press,pallet_done,pallet=118;buffer=0
5712.50,press,pallet_done,pallet=119;buffer=0
5735.00,melting,melt_done,furnace=1
5755.00,press,pallet_done,pallet=120;buffer=0
5797.50,press,pallet_done,pallet=121;buffer=0
5840.00,press,pallet_done,pallet=122;buffer=0
5862.00,outbound,depart,truck=49;load_kind=scr;ton=20.0
5882.50,press,pallet_done,pallet=123;buffer=0
5885.00,casting,flake_done,furnace=1;units=24
5925.00,press,pallet_done,pallet=124;buffer=0
5929.22,outbound,arrive,truck=50;load_kind=scr
5930.26,outbound,arrive,truck=51;load_kind=scr
5951.22,outbound,depart,truck=50;load_kind=scr;ton=20.0
5962.00,outbound,depart,truck=51;load_kind=scr;ton=20.0
5965.00,casting,scr_done,furnace=1;units=14
5965.00,melting,batch_done,furnace=1
5967.50,press,pallet_done,pallet=125;buffer=0
6010.00,press,pallet_done,pallet=126;buffer=0
6033.29,outbound,arrive,truck=52;load_kind=scr
6052.50,press,pallet_done,pallet=127;buffer=0
6061.22,outbound,arrive,truck=53;load_kind=scr
6071.87,outbound,arrive,truck=54;load_kind=scr
6095.00,press,pallet_done,pallet=128;buffer=0
6126.28,outbound,arrive,truck=55;load_kind=scr
6137.50,press,pallet_done,pallet=129;buffer=0
6180.00,press,pallet_done,pallet=130;buffer=0
6222.50,press,pallet_done,pallet=131;buffer=0
6222.50,melting,batch_collected,furnace=2;pallets=32
6265.00,press,pallet_done,pallet=132;buffer=0
6288.09,outbound,depart,truck=52;load_kind=scr;ton=8.0
6307.50,press,pallet_done,pallet=133;buffer=0
6311.22,outbound,depart,truck=53;load_kind=scr;ton=0.0
6314.05,outbound,arrive,truck=56;load_kind=flake
